gen,nevals,avg,std,min,max
183,235,147.6856666666667,21.96513433957452,123.86,254.7000000000001
184,242,146.85126666666667,21.029126334575952,123.5,236.38000000000005
185,214,146.8444,20.189476977871422,123.5,232.0600000000001
186,212,144.76520000000002,18.850390755277907,123.5,228.98000000000002
187,214,144.72206666666665,19.79393482178036,123.39999999999999,234.38000000000002
188,203,144.291,21.453053248119875,124.19999999999999,252.43999999999997
189,245,143.5084666666667,21.841106175792074,125.21999999999998,236.42000000000007
190,219,140.25106666666667,17.369277403763494,125.36,225.88000000000005
191,216,139.08353333333332,16.46550153651231,125.36,225.78
192,236,140.17759999999998,21.02036541642415,126.05999999999999,230.32000000000008
193,227,138.7276,19.89865471767711,126.05999999999999,232.07999999999993
194,233,138.49573333333333,22.34532292141294,125.46,244.12000000000003
195,224,135.655,19.254090136903386,125.1,232.92000000000007
196,234,137.6242,22.161703297054288,125.1,232.65999999999997
197,219,134.60626666666667,17.287341054334796,123.9,228.57999999999998
198,228,134.28833333333333,19.087856904907444,122.56,217.38000000000002
199,244,133.58813333333333,17.73345818452291,122.2,214.00000000000003
200,217,133.72053333333335,18.782623664322184,121.99999999999999,215.7999999999999
